set_key,year,brand,product,section,section_card_count,card_number,player_slot,player_name_raw,affiliation_raw,is_multi_player,raw_line
2024_topps_chrome,2024,Topps,Chrome,Base,,1,1,Shohei Ohtani,Los Angeles Dodgers,False,Base	1	Shohei Ohtani	Los Angeles Dodgers
2024_topps_chrome,2024,Topps,Chrome,Base,,2,1,Colt Keith,Detroit Tigers	RC,False,Base	2	Colt Keith	Detroit Tigers	RC
2024_topps_chrome,2024,Topps,Chrome,Base,,3,1,Corbin Burnes,Baltimore Orioles,False,Base	3	Corbin Burnes	Baltimore Orioles
2024_topps_chrome,2024,Topps,Chrome,Base,,4,1,Freddie Freeman,Los Angeles Dodgers,False,Base	4	Freddie Freeman	Los Angeles Dodgers
2024_topps_chrome,2024,Topps,Chrome,Base,,5,1,Lawrence Butler,Oakland Athletics	RC,False,Base	5	Lawrence Butler	Oakland Athletics	RC
2024_topps_chrome,2024,Topps,Chrome,Base,,6,1,Eury Pérez,Miami Marlins,False,Base	6	Eury Pérez	Miami Marlins
2024_topps_chrome,2024,Topps,Chrome,Base,,7,1,MJ Melendez,Kansas City Royals,False,Base	7	MJ Melendez	Kansas City Royals
2024_topps_chrome,2024,Topps,Chrome,Base,,8,1,Tristan Gray,Tampa Bay Rays	RC,False,Base	8	Tristan Gray	Tampa Bay Rays	RC
2024_topps_chrome,2024,Topps,Chrome,Base,,9,1,Ozzie Albies,Atlanta Braves,False,Base	9	Ozzie Albies	Atlanta Braves
2024_topps_chrome,2024,Topps,Chrome,Base,,10,1,Byron Buxton,Minnesota Twins,False,Base	10	Byron Buxton	Minnesota Twins
2024_topps_chrome,2024,Topps,Chrome,Base,,11,1,Alex Verdugo,New York Yankees,False,Base	11	Alex Verdugo	New York Yankees
2024_topps_chrome,2024,Topps,Chrome,Base,,12,1,Manny Machado,San Diego Padres,False,Base	12	Manny Machado	San Diego Padres
2024_topps_chrome,2024,Topps,Chrome,Base,,13,1,Seiya Suzuki,Chicago Cubs,False,Base	13	Seiya Suzuki	Chicago Cubs
2024_topps_chrome,2024,Topps,Chrome,Base,,14,1,J.P. Crawford,Seattle Mariners,False,Base	14	J.P. Crawford	Seattle Mariners
2024_topps_chrome,2024,Topps,Chrome,Base,,15,1,Gavin Williams,Cleveland Guardians	RC,False,Base	15	Gavin Williams	Cleveland Guardians	RC
